index,x,y,z
168,0.00766,-0.148773,-0.974731
169,0.003433,-0.152252,-0.984512
170,0.001236,-0.150192,-0.978409
171,0.008072,-0.151474,-0.982361
172,0.004822,-0.145584,-0.991379
173,0.005844,-0.145447,-0.98378
174,0.007019,-0.147537,-0.983917
175,0.002472,-0.150696,-0.987762
176,0.005341,-0.154068,-0.978058
177,0.006577,-0.150253,-0.98764
178,0.005508,-0.149445,-0.99382
179,0.008316,-0.148102,-0.988464
180,0.00386,-0.147446,-0.989471
181,0.00499,-0.153793,-0.985947
182,0.004364,-0.150177,-0.981857
183,0.004562,-0.149582,-0.991806
184,0.006622,-0.151535,-0.991974
185,0.003922,-0.142822,-0.986542
186,0.006058,-0.150955,-0.983994
187,0.003555,-0.153961,-0.980301
188,0.003159,-0.146561,-0.979385
189,0.007294,-0.153625,-0.989105
190,0.003876,-0.147125,-0.988953
191,0.005386,-0.142563,-0.983231
192,0.006424,-0.15387,-0.982605
193,0.000854,-0.147293,-0.978271
194,0.007965,-0.152054,-0.981171
195,0.006546,-0.153183,-0.993698
196,0.003235,-0.141815,-0.986145
197,0.010513,-0.151672,-0.986679
198,0.002213,-0.150375,-0.985046
199,0.003906,-0.146149,-0.975601
200,0.008118,-0.155487,-0.990463
201,0.001938,-0.146255,-0.994614
202,0.008179,-0.144653,-0.983673
203,0.007828,-0.151657,-0.992264
204,0.001083,-0.145157,-0.984833
205,0.008316,-0.152725,-0.978577
206,0.003403,-0.152267,-0.992554
207,0.001877,-0.143875,-0.986282
208,0.010468,-0.149139,-0.986206
209,0.002594,-0.145569,-0.992722
210,0.004135,-0.147919,-0.97493
211,0.00769,-0.152603,-0.978973
212,0.001328,-0.148544,-0.988068
213,0.007065,-0.148376,-0.982605
214,0.00766,-0.145737,-0.989441
215,0.002777,-0.145386,-0.984894
216,0.006485,-0.150558,-0.97821
217,0.004181,-0.149414,-0.98584
218,0.004929,-0.15126,-0.986557
219,0.008301,-0.147095,-0.986267
220,0.005997,-0.144699,-0.992828
221,0.005676,-0.149948,-0.986389
222,0.004929,-0.148468,-0.982513
223,0.004715,-0.149887,-0.988312
224,0.005554,-0.152252,-0.986908
225,0.005798,-0.143417,-0.989288
226,0.007309,-0.14978,-0.990555
227,0.004791,-0.146759,-0.982513
228,0.003983,-0.146957,-0.979553
229,0.003937,-0.154953,-0.987076
230,0.003967,-0.145325,-0.985672
231,0.009171,-0.147537,-0.987656
232,0.006516,-0.149872,-0.990524
233,0.003647,-0.14299,-0.978378
234,0.006622,-0.153427,-0.981125
235,0.003738,-0.152267,-0.987045
236,0.005478,-0.145996,-0.981964
